depvar,year,quarter,coeff,se,period,cp5,cn5,cp10,cn10
"en_init",1964,2,-.0234595,.0192507,1,.0142719,-.061191,.0083042,-.0552232
"en_init",1964,3,-.0116396,.0181118,2,.0238595,-.0471387,.0182448,-.041524
"en_init",1964,4,-.0389537,.0183522,3,-.0029835,-.074924,-.0086727,-.0692348
"en_init",1965,1,-.0099802,.0179698,4,.0252407,-.045201,.01967,-.0396304
"en_init",1965,2,-.0033218,.0191647,5,.034241,-.0408846,.0283,-.0349436
"en_init",1965,3,.0028028,.0170594,6,.0362394,-.0306337,.0309509,-.0253453
"en_init",1965,4,-.0004563,.0158714,7,.0306517,-.0315642,.0257315,-.0266441
"en_init",1966,1,-.0249541,.0167395,8,.0078553,-.0577636,.0026661,-.0525743
"en_init",1966,2,-.011874,.0179811,9,.0233689,-.0471169,.0177948,-.0415428
"en_init",1966,3,.000392,.018588,10,.0368244,-.0360404,.0310621,-.0302782
"en_init",1966,4,-.0083635,.0179076,11,.0267354,-.0434624,.021184,-.0379111
"en_init",1967,1,.0148296,.0184972,12,.0510842,-.021425,.04535,-.0156908
"en_init",1967,2,-.0052969,.0185476,13,.0310565,-.0416502,.0253067,-.0359004
"en_init",1967,3,.008849,.0171263,14,.0424165,-.0247186,.0371073,-.0194094
"en_init",1967,4,.0135942,.0178872,15,.0486532,-.0214647,.0431081,-.0159197
"en_init",1968,1,-.0141925,.0156291,16,.0164405,-.0448254,.0115955,-.0399804
"en_init",1968,2,-.0093159,.0177538,17,.0254815,-.0441133,.0199779,-.0386096
"en_init",1968,3,.0044199,.0178529,18,.0394115,-.0305718,.0338771,-.0250374
"en_init",1968,4,.0164503,.0177699,19,.0512792,-.0183786,.0457705,-.01287
"en_init",1969,1,-.0185488,.0167804,20,.0143409,-.0514385,.0091389,-.0462365
"en_init",1969,2,-.0061292,.0178683,21,.0288927,-.0411511,.0233535,-.0356119
"en_init",1969,3,-.0119417,.0179367,22,.0232142,-.0470976,.0176539,-.0415372
"en_init",1969,4,-.0000877,.0177387,23,.0346801,-.0348554,.0291811,-.0293564
