rowtitle	outcol1	outcol2	outcol3	outcol4
Bombing	-0.001	'(0.018)	0.020	'(0.016)
Security LCA	-0.002	'(0.015)	0.002	'(0.015)
Enemy Forces Present	-0.017	'(0.018)	-0.008	'(0.014)
Village Guerrilla Squad	0.026	'(0.021)	0.015	'(0.019)
VC Main Force Squad	-0.019	'(0.022)	-0.021	'(0.019)
VC Base Nearby	0.022	'(0.018)	0.012	'(0.017)
VC Attack	0.007	'(0.015)	0.005	'(0.012)
Active VC Infrastructure	-0.013	'(0.018)	-0.022	'(0.017)
\% Households Participate VC	-0.003	'(0.005)	-0.005	'(0.006)
VC Propoganda	-0.019	'(0.014)	-0.018	'(0.014)
VC Taxation	-0.024	'(0.020)	-0.019	'(0.019)
Friendly Forces Nearby	-0.020	'(0.024)	-0.004	'(0.019)
US Operations	0.006	'(0.005)	0.005	'(0.003)
US Initiated Attacks	0.007	'(0.006)	0.009*	'(0.005)
US Deaths	0.036	'(0.060)	0.036	'(0.094)
SVN Deaths	0.326*	'(0.191)	0.141**	'(0.057)
VC Deaths	2.000	'(1.950)	0.321	'(2.027)
Administration LCA	0.005	'(0.008)	0.012	'(0.009)
Local Government Taxes	-0.007	'(0.021)	0.016	'(0.021)
Village Committee Filled	-0.001	'(0.020)	0.026	'(0.019)
Local Chief Visits Hamlet	0.010	'(0.012)	0.012	'(0.012)
Education LCA	0.007	'(0.015)	-0.000	'(0.015)
Primary School Access	0.004	'(0.012)	0.013	'(0.012)
Secondary School Access	-0.005	'(0.019)	0.004	'(0.018)
Health LCA	0.010	'(0.015)	0.013	'(0.015)
Public Works Under Construction	0.005	'(0.027)	0.040*	'(0.022)
Civic Society LCA	0.009	'(0.018)	0.020	'(0.018)
HH Participation in Civic Orgs	-0.008	'(0.011)	0.006	'(0.010)
HH Participation in PSDF	0.005	'(0.012)	0.002	'(0.011)
HH Participation in Econ Training	-0.017*	'(0.009)	0.003	'(0.007)
HH Participation in Devo Projects	-0.012	'(0.013)	-0.004	'(0.010)
Self Devo Projects Underway	-0.021	'(0.024)	-0.030	'(0.019)
Youth Organization Exists	0.014	'(0.022)	0.014	'(0.021)
Council Meets Regularly with Citizens	-0.008	'(0.023)	-0.018	'(0.023)
Economic LCA	-0.031*	'(0.016)	-0.024	'(0.016)
Non-Rice Food Available	-0.055***	'(0.019)	-0.038**	'(0.019)
Manufactures Available	-0.036**	'(0.016)	-0.018	'(0.016)
Surplus Goods Produced	-0.023	'(0.020)	-0.011	'(0.020)
Fields Fallow Due to Insecurity	0.029	'(0.019)	0.017	'(0.019)
HH With Motorized Vehicle	-0.005	'(0.005)	-0.004	'(0.006)
HH Require Assistance to Subsist	0.003	'(0.007)	0.007	'(0.007)
Hamlet Population Growth	0.003	'(0.012)	0.006	'(0.010)
Urban	-0.015	'(0.012)	-0.018	'(0.012)
